A01: STOMATOLOGIKA; Préparations stomatologiques
A01AA01: Natriumfluorid; Sodium fluorure
A01AA30: Kombinationen; Associations de sels de fluor
A01AB03: Chlorhexidin; Chlorhexidine
A01AB08: Neomycin; Néomycine
A01AB11: Verschiedene; Divers anti-infectieux pour traitement oral local
A01AB12: Hexetidin; Hexétidine
A01AB14: Benzoxoniumchlorid; Benzoxonium chlorure
A01AC01: Triamcinolon; Triamcinolone
A01AC03: Hydrocortison; Hydrocortisone
A01AC54: Prednisolon, Kombinationen; Prednisolone en association
A01AD02: Benzydamin; Benzydamine
A01AD11: Verschiedene; Divers autres médicaments pour traitement oral local
A02: MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN; Anti-acides, médicaments de l’ulcère peptique et des flatulences
A02AC10: Kombinationen; Associations d’anti-acides à base de calcium
A02AD01: Einfache Salzkombinationen; Associations de sels anti-acides
A02AD02: Magaldrat; Magaldrate
A02AD04: Hydrotalcit; Hydrotalcite
A02AF02: Einfache Salzkombinationen und Karminativa; Associations de sels et antiflatulents
A02AH: Antacida mit Natriumbicarbonat; Anti-acides avec bicarbonate de sodium
A02BA02: Ranitidin; Ranitidine
A02BB01: Misoprostol; Misoprostol
A02BC01: Omeprazol; Oméprazole
A02BC02: Pantoprazol; Pantoprazole
A02BC03: Lansoprazol; Lansoprazole
A02BC04: Rabeprazol; Rabéprazole
A02BC05: Esomeprazol; Ésoméprazole
A02BX02: Sucralfat; Sucralfate
A03: MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN; Antispasmodiques, anticholinergiques et stimulants de la motricité intestinale
A03AA04: Mebeverin; Mébéverine
A03AA05: Trimebutin; Trimébutine
A03AE04: Prucaloprid; Prucalopride
A03AX04: Pinaverium; Pinavérium
A03AX13: Silikone; Silicones
A03BA01: Atropin; Atropine
A03BB01: Butylscopolamin; Butylscopolamine
A03CA02: Clidinium und Psycholeptika; Clidinium et psycholeptiques
A03FA01: Metoclopramid; Métoclopramide
A03FA03: Domperidon; Dompéridone
A04: ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT; Anti-émétiques et antinauséeux
A04A: ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT; Anti-émétiques et antinauséeux
A04AA01: Ondansetron; Ondansétron
A04AA02: Granisetron; Granisétron
A04AA03: Tropisetron; Tropisétron
A04AA05: Palonosetron; Palonosétron
A04AB52: Dimenhydrinat, Kombinationen; 
A04AD: Andere Antiemetika; Autres anti-émétiques
A04AD12: Aprepitant, Fosaprepitant; Aprépitant
A05: GALLEN- UND LEBERTHERAPIE; Thérapeutique hépatique et biliaire
A05AA02: Ursodeoxycholsäure; Acide ursodésoxycholique
A06: LAXANZIEN; Laxatifs
A06AA01: Dickflüssiges Paraffin; Huile de paraffine
